Manufacturer,Country,Doses
Moderna,Mongolia,0
Moderna,Uruguay,0
Moderna,Kuwait,0
Moderna,Panama,0
Moderna,Costa Rica,0
Moderna,Serbia,0
Moderna,Iraq,0
Moderna,Hungary,0
Moderna,Saudi Arabia,0
Moderna,El Salvador,0
Moderna,Azerbaijan,0
Moderna,Venezuela,0
Moderna,Hong Kong,0
Moderna,Ecuador,0
Moderna,Guatemala,0
Moderna,Dominican Republic,0
Moderna,Bolivia,0
Moderna,Nepal,0
Moderna,New Zealand,0
Moderna,Pakistan,0
Moderna,Switzerland,20500000
Moderna,South Africa,0
Moderna,Bangladesh,0
Moderna,Myanmar,0
Moderna,SriLanka,0
Moderna,Taiwan,0
Moderna,Israel,10000000
Moderna,Ukraine,0
Moderna,Colombia,10000000
Moderna,Peru,0
Moderna,Argentina,0
Moderna,Iran,0
Moderna,Malaysia,0
Moderna,Vietnam,0
Moderna,Thailand,0
Moderna,Chile,0
Moderna,Morocco,0
Moderna,Egypt,0
Moderna,Rest,119000000
Moderna,Latam (w/o Brazil),0
Moderna,Philippines,13000000
Moderna,Australia,25000000
Moderna,South Korea,40000000
Moderna,Mexico,0
Moderna,Turkey,0
Moderna,Indonesia,0
Moderna,African Union,0
Moderna,Japan,50000000
Moderna,Canada,44000000
Moderna,India,0
Moderna,China,0
Moderna,Brazil,0
Moderna,UK,17000000
Moderna,USA,300000000
Moderna,COVAX,500000000
Moderna,EU,310000000
AstraZeneca,Algeria,0
AstraZeneca,Bosnia,0
AstraZeneca,Croatia,0
AstraZeneca,Cyprus,0
AstraZeneca,Germany,0
AstraZeneca,Macao,0
AstraZeneca,Moldova,0
AstraZeneca,Paraguay,0
AstraZeneca,Qatar,0
AstraZeneca,Russia,0
AstraZeneca,Singapore,0
AstraZeneca,Syria,0
AstraZeneca,San Marino,0
AstraZeneca,Belarus,0
AstraZeneca,Mauritius,100000
AstraZeneca,Senegal,0
AstraZeneca,Somalia,0
AstraZeneca,Benin,0
AstraZeneca,Maldives,0
AstraZeneca,Bahrain,0
AstraZeneca,Oman,0
AstraZeneca,Armenia,0
AstraZeneca,Jordan,0
AstraZeneca,Kosovo,0
AstraZeneca,North Macedonia,0
AstraZeneca,Honduras,1400000
AstraZeneca,Albania,0
AstraZeneca,Botswana,0
AstraZeneca,Slovakia,0
AstraZeneca,Uzbekistan,0
AstraZeneca,Palestine,2025000
AstraZeneca,Zimbabwe,0
AstraZeneca,Tunisia,0
AstraZeneca,Kazakhstan,0
AstraZeneca,Lebanon,0
AstraZeneca,United Arab Emirates,0
AstraZeneca,Cambodia,100000
AstraZeneca,Mongolia,0
AstraZeneca,Uruguay,0
AstraZeneca,Kuwait,3000000
AstraZeneca,Panama,0
AstraZeneca,Costa Rica,1000000
AstraZeneca,Serbia,0
AstraZeneca,Iraq,2000000
AstraZeneca,Hungary,0
AstraZeneca,Saudi Arabia,4500000
AstraZeneca,El Salvador,2000000
AstraZeneca,Azerbaijan,0
AstraZeneca,Venezuela,0
AstraZeneca,Hong Kong,0
AstraZeneca,Ecuador,5000000
AstraZeneca,Guatemala,0
AstraZeneca,Dominican Republic,10110000
AstraZeneca,Bolivia,5000000
AstraZeneca,Nepal,2000000
AstraZeneca,New Zealand,7600000
AstraZeneca,Pakistan,0
AstraZeneca,Switzerland,0
AstraZeneca,South Africa,1000000
AstraZeneca,Bangladesh,33000000
AstraZeneca,Myanmar,33500000
AstraZeneca,SriLanka,10500000
AstraZeneca,Taiwan,10000000
AstraZeneca,Israel,10000000
AstraZeneca,Ukraine,3200000
AstraZeneca,Colombia,10000000
AstraZeneca,Peru,14000000
AstraZeneca,Argentina,23600000
AstraZeneca,Iran,0
AstraZeneca,Malaysia,6400000
AstraZeneca,Vietnam,30000000
AstraZeneca,Thailand,66000000
AstraZeneca,Chile,14400000
AstraZeneca,Morocco,50000000
AstraZeneca,Egypt,30000000
AstraZeneca,Rest,614165000
AstraZeneca,Latam (w/o Brazil),127600000
AstraZeneca,Philippines,17000000
AstraZeneca,Australia,53800000
AstraZeneca,South Korea,20000000
AstraZeneca,Mexico,81930000
AstraZeneca,Turkey,0
AstraZeneca,Indonesia,50000000
AstraZeneca,African Union,0
